,R,G,B,S
0,0.23102745098039215,0.21955686274509806,0.18462745098039215,0.96
1,0.22977254901960784,0.21856470588235294,0.18350588235294116,0.96
2,0.22574509803921566,0.21358823529411766,0.18057647058823528,0.96
3,0.22358039215686273,0.20937647058823528,0.17704313725490198,0.96
4,0.22309019607843136,0.20754117647058823,0.17677254901960784,0.96
5,0.22265490196078433,0.2060078431372549,0.17679607843137254,0.96
6,0.2214235294117647,0.20372156862745097,0.17535686274509804,0.96
7,0.21997254901960786,0.2014235294117647,0.17449019607843136,0.96
8,0.21989411764705882,0.2006549019607843,0.17393725490196077,0.96
9,0.22129019607843137,0.20198823529411764,0.1751137254901961,0.96
10,0.22252549019607842,0.2036313725490196,0.17611372549019608,0.96
11,0.22221176470588236,0.20357254901960783,0.1760078431372549,0.96
12,0.22208235294117648,0.20348627450980394,0.17590196078431372,0.96
13,0.2226156862745098,0.20417254901960785,0.1763686274509804,0.96
14,0.2234392156862745,0.20538823529411765,0.17698823529411764,0.96
15,0.22418039215686272,0.20658823529411766,0.17791764705882354,0.96
16,0.22468627450980394,0.20769803921568628,0.1782549019607843,0.96
17,0.22529411764705884,0.20874509803921568,0.17901960784313725,0.96
18,0.22572941176470587,0.20974901960784312,0.17922745098039217,0.96
19,0.2261372549019608,0.2107686274509804,0.17985098039215688,0.96
20,0.22669803921568626,0.21182745098039216,0.18035686274509805,0.96
21,0.22726666666666667,0.21280000000000002,0.18094901960784315,0.96
22,0.22773725490196078,0.21393333333333334,0.1813607843137255,0.96
23,0.22812941176470589,0.21502745098039217,0.18179607843137255,0.96
24,0.22894117647058826,0.2162313725490196,0.18247058823529413,0.96
25,0.22956078431372548,0.21737254901960784,0.18343529411764709,0.96
26,0.23014117647058824,0.2186156862745098,0.18392549019607846,0.96
27,0.23058431372549018,0.2195921568627451,0.1845843137254902,0.96
28,0.23111372549019607,0.22067058823529412,0.1850235294117647,0.96
29,0.23170196078431374,0.22175686274509804,0.18570588235294117,0.96
30,0.23111372549019607,0.2213921568627451,0.18470980392156863,0.96
31,0.2314470588235294,0.22229019607843137,0.18489019607843138,0.96
32,0.23204313725490197,0.22326666666666667,0.18558039215686276,0.96
33,0.23268235294117648,0.22425098039215685,0.18631764705882353,0.96
34,0.23321176470588237,0.2251921568627451,0.18678823529411764,0.96
35,0.23395686274509803,0.22641960784313725,0.18758823529411764,0.96
36,0.23441176470588235,0.2275686274509804,0.18808235294117648,0.96
37,0.2344392156862745,0.2279921568627451,0.18836470588235293,0.96
38,0.2307372549019608,0.22421176470588236,0.18522745098039214,0.96
39,0.22628627450980393,0.2174078431372549,0.18152941176470588,0.96
40,0.22455686274509803,0.2136078431372549,0.17929803921568627,0.96
41,0.22454901960784313,0.2122470588235294,0.1792235294117647,0.96
42,0.22345882352941177,0.21024313725490196,0.1777843137254902,0.96
43,0.22172549019607843,0.20712941176470587,0.17654117647058823,0.96
44,0.22030196078431372,0.20438823529411765,0.17481176470588233,0.96
45,0.22018039215686275,0.20319607843137255,0.17453333333333335,0.96
46,0.22165882352941177,0.20468235294117648,0.1756705882352941,0.96
47,0.22241176470588236,0.2057137254901961,0.1763450980392157,0.96
48,0.22176078431372548,0.20527450980392156,0.1759764705882353,0.96
49,0.22172941176470587,0.20509803921568626,0.17579607843137257,0.96
50,0.2224313725490196,0.20574117647058823,0.17644313725490196,0.96
51,0.22291764705882353,0.20669803921568627,0.17690196078431372,0.96
52,0.2235294117647059,0.20772941176470586,0.17725882352941177,0.96
53,0.22410980392156865,0.20884313725490197,0.17812549019607843,0.96
54,0.2245921568627451,0.20965882352941176,0.17834117647058823,0.96
55,0.22518823529411766,0.21060392156862745,0.17891764705882354,0.96
56,0.22556470588235294,0.21163921568627453,0.17938823529411765,0.96
57,0.22623921568627453,0.21260392156862745,0.18011764705882352,0.96
58,0.22676078431372548,0.21360392156862745,0.18045098039215687,0.96
59,0.22720784313725492,0.21470196078431372,0.18128627450980392,0.96
60,0.22788235294117648,0.21592549019607843,0.18156470588235293,0.9600003595958142
61,0.2284470588235294,0.2170156862745098,0.18229411764705883,0.9601670322557446
62,0.22881176470588235,0.21820784313725491,0.18262745098039215,0.9603337049156748
63,0.2296,0.21931764705882353,0.18347450980392158,0.960500377575605
