,R,G,B,S
0,0.23967843137254902,0.17847450980392157,0.17777647058823529,0.9695
1,0.2402980392156863,0.1791450980392157,0.17781176470588234,0.9695
2,0.24083529411764704,0.17932549019607844,0.17838823529411763,0.9695
3,0.24144313725490196,0.18003529411764704,0.17900000000000002,0.9695
4,0.24160392156862745,0.18044313725490196,0.17959607843137254,0.9695
5,0.24198039215686273,0.18118823529411765,0.1794156862745098,0.9695
6,0.24237647058823528,0.18162745098039215,0.1798235294117647,0.9695
7,0.2427137254901961,0.18237254901960787,0.1798156862745098,0.9695
8,0.2430705882352941,0.18288235294117647,0.18011764705882352,0.9695
9,0.2435686274509804,0.18350588235294116,0.18066274509803923,0.9695
10,0.24419607843137256,0.18427450980392157,0.18114901960784313,0.9695
11,0.24467843137254902,0.18490196078431373,0.18148235294117646,0.9695
12,0.24529019607843136,0.18564313725490195,0.1821686274509804,0.9695
13,0.2457529411764706,0.18632941176470588,0.18232549019607844,0.9695
14,0.2462156862745098,0.18698039215686274,0.18281960784313725,0.9695
15,0.24657254901960785,0.1875058823529412,0.18305490196078433,0.9695
16,0.24709019607843138,0.18817254901960784,0.1835176470588235,0.9695
17,0.2474705882352941,0.1887843137254902,0.18389803921568626,0.9695
18,0.2479764705882353,0.18963529411764707,0.18434901960784314,0.9695
19,0.2483450980392157,0.19007450980392157,0.18449019607843137,0.9695
20,0.24864313725490197,0.1906862745098039,0.18478431372549017,0.9695
21,0.24911764705882353,0.19129803921568628,0.1852078431372549,0.9695
22,0.24923529411764705,0.19150196078431372,0.18525098039215684,0.9695
23,0.24710980392156862,0.18925098039215688,0.18350980392156863,0.9695
24,0.2441333333333333,0.1855843137254902,0.18104705882352942,0.9695
25,0.24221960784313726,0.18288235294117647,0.17969019607843137,0.9695
26,0.24158823529411763,0.18184705882352942,0.17910588235294117,0.9695
27,0.2415450980392157,0.18165882352941176,0.17893725490196077,0.9695
28,0.2415372549019608,0.18156862745098037,0.17924313725490196,0.9695
29,0.24147450980392157,0.18150196078431374,0.17917254901960783,0.9695
30,0.24138431372549018,0.18137647058823528,0.17908627450980394,0.9695
31,0.24019607843137256,0.1800313725490196,0.17746274509803922,0.9695163780924533
32,0.24034509803921567,0.18003529411764704,0.1775921568627451,0.9695330354502744
33,0.24001176470588237,0.17972549019607842,0.1772235294117647,0.9695496928080956
34,0.23953333333333335,0.17917254901960783,0.17699607843137255,0.9695663501659165
35,0.23939607843137253,0.17896862745098038,0.17673333333333333,0.9695830075237376
36,0.23948235294117645,0.17899607843137255,0.1768313725490196,0.9695996648815587
37,0.23969411764705884,0.17922745098039217,0.1770078431372549,0.9696163222393797
38,0.24010980392156864,0.17974509803921568,0.17741960784313723,0.9696329795972009
39,0.24058823529411766,0.1803843137254902,0.17772941176470589,0.9696496369550219
40,0.24106666666666668,0.1809098039215686,0.17824705882352943,0.9696662943128429
41,0.24137254901960783,0.18138039215686275,0.1784235294117647,0.969682951670664
42,0.24181176470588234,0.18189411764705884,0.1787529411764706,0.9696996090284852
43,0.24212549019607843,0.18230588235294118,0.17902745098039216,0.9697162663863061
44,0.24246274509803922,0.18273333333333333,0.17931764705882353,0.9697329237441272
45,0.24280000000000002,0.1831764705882353,0.1795607843137255,0.9697495811019483
46,0.24310588235294117,0.18354901960784314,0.17985490196078432,0.9697662384597693
47,0.24344313725490196,0.183921568627451,0.18010196078431373,0.9697828958175905
48,0.24372156862745098,0.18443529411764706,0.18025490196078434,0.9697995531754116
49,0.24412941176470587,0.18502745098039217,0.18066274509803923,0.9698162105332325
50,0.24452549019607842,0.18554901960784312,0.18085882352941177,0.9698328678910536
51,0.24495686274509804,0.1861686274509804,0.1812078431372549,0.9698495252488748
52,0.24549019607843137,0.1867607843137255,0.18173333333333333,0.9698661826066959
53,0.2458627450980392,0.18732549019607844,0.18193333333333334,0.9698828399645169
54,0.2463137254901961,0.18796470588235292,0.18236470588235293,0.9698994973223379
55,0.24672549019607842,0.1886235294117647,0.1826235294117647,0.9699161546801591
56,0.24710980392156862,0.18917254901960784,0.1830156862745098,0.9699328120379801
57,0.24747843137254902,0.18969411764705882,0.18327058823529413,0.9699494693958012
58,0.2478627450980392,0.19014901960784314,0.18372549019607845,0.9699661267536223
59,0.24829019607843136,0.19085098039215687,0.18398431372549018,0.9699827841114432
60,0.24866666666666665,0.19147058823529414,0.18443529411764706,0.9699994414692644
61,0.24899607843137256,0.19190196078431374,0.18464313725490197,0.9699839011729146
62,0.24937254901960787,0.19255686274509803,0.18495686274509804,0.9699672438150935
63,0.24862745098039216,0.19172941176470587,0.18422745098039217,0.9699505864572724
64,0.24576862745098038,0.1885294117647059,0.18206666666666665,0.9699339290994513
65,0.2433372549019608,0.18528627450980392,0.18005882352941177,0.9699172717416303
66,0.24215686274509804,0.18338823529411766,0.17916470588235292,0.9699006143838091
67,0.2418078431372549,0.18273333333333333,0.17895686274509803,0.9698839570259881
68,0.24181568627450978,0.18251764705882353,0.1789294117647059,0.9698672996681671
69,0.2418,0.18234509803921567,0.17889411764705884,0.969850642310346
70,0.24172549019607845,0.18216470588235292,0.1787372549019608,0.9698339849525248
71,0.24182352941176471,0.18210980392156864,0.1787921568627451,0.9698173275947037
72,0.24187843137254902,0.18215686274509804,0.1789058823529412,0.9698006702368828
73,0.24179607843137255,0.18201960784313725,0.17870980392156863,0.9697840128790617
74,0.2413529411764706,0.18142745098039217,0.17851764705882353,0.9697673555212405
75,0.24080000000000001,0.18079607843137255,0.17793333333333333,0.9697506981634195
76,0.24072549019607842,0.18062352941176468,0.17784313725490197,0.9697340408055984
77,0.24087843137254902,0.18068235294117646,0.1777843137254902,0.9697173834477774
78,0.24131372549019606,0.18107450980392156,0.17833725490196078,0.9697007260899564
79,0.24169803921568628,0.18154901960784314,0.17857254901960784,0.9696840687321352
80,0.24227058823529413,0.18212549019607843,0.17911764705882352,0.9696674113743141
81,0.2426901960784314,0.1826235294117647,0.17934117647058823,0.9696507540164931
82,0.2429294117647059,0.18301960784313726,0.17959607843137254,0.9696340966586721
83,0.24310196078431373,0.1832549019607843,0.1797607843137255,0.9696174393008509
84,0.24359607843137254,0.18379215686274508,0.1801921568627451,0.9696007819430299
85,0.24369411764705884,0.18402352941176472,0.18024705882352943,0.9695841245852088
86,0.24404705882352942,0.18435686274509805,0.18063529411764706,0.9695674672273877
87,0.2443529411764706,0.18471764705882354,0.18068235294117646,0.9695508098695668
88,0.2446156862745098,0.18507450980392157,0.18102745098039216,0.9695341525117456
89,0.24481176470588234,0.18544313725490194,0.18103529411764707,0.9695174951539245
90,0.24528627450980392,0.18605098039215687,0.18154509803921567,0.9695008377961035
91,0.2457764705882353,0.1866235294117647,0.1818078431372549,0.9695
92,0.24618823529411765,0.18709803921568627,0.1822470588235294,0.9695
93,0.24644313725490197,0.18765098039215686,0.18238823529411766,0.9695
94,0.2468470588235294,0.1880901960784314,0.1827843137254902,0.9695
95,0.247278431372549,0.1886313725490196,0.18294117647058822,0.9695
96,0.24761960784313725,0.18914509803921567,0.18348627450980393,0.9695
97,0.24798431372549018,0.18964705882352942,0.18354117647058824,0.9695
98,0.2484235294117647,0.19021568627450983,0.18399607843137253,0.9695
99,0.24871764705882354,0.19066666666666665,0.1841529411764706,0.9695
100,0.2490470588235294,0.19124313725490197,0.18465490196078432,0.9695
101,0.24940392156862745,0.1916549019607843,0.18496078431372548,0.9695
102,0.24887058823529412,0.19129411764705884,0.18446666666666667,0.9695
103,0.24629411764705883,0.18827450980392155,0.18227843137254904,0.9695
104,0.24329803921568627,0.1843686274509804,0.17996470588235294,0.9695
105,0.24159999999999998,0.18203529411764705,0.17842745098039217,0.9695
106,0.24105490196078433,0.18107450980392156,0.17809019607843135,0.9695
